,Team,Round 1 Odds,Year
0,Maryland,+350 ,2002
1,Kansas,+300 ,2002
2,Oklahoma,+800 ,2002
3,Indiana,+7500 ,2002
4,Duke,+250 ,2002
5,Cincinnati,+700 ,2002
6,Connecticut,+800 ,2002
7,Florida,+1200 ,2002
8,Oregon,+1200 ,2002
9,Arizona,+1500 ,2002
10,Oklahoma State,+2500 ,2002
11,Alabama,+2500 ,2002
12,California,+2500 ,2002
13,Kent State,+2500 ,2002
14,Pittsburgh,+2500 ,2002
15,Kentucky,+4000 ,2002
16,Gonzaga,+4000 ,2002
17,Marquette,+4000 ,2002
18,Ohio State,+4000 ,2002
19,Stanford,+5000 ,2002
20,USC,+5000 ,2002
21,Illinois,+6000 ,2002
22,Wake Forest,+6000 ,2002
23,Tulsa,+6000 ,2002
24,UCLA,+8000 ,2002
25,Xavier,+8000 ,2002
26,Mississippi State,+8000 ,2002
27,NC State,+8000 ,2002
28,Texas Tech,+8000 ,2002
29,Utah,+10000 ,2002
30,Hawaii,+10000 ,2002
31,Pepperdine,+10000 ,2002
32,Miami (FL),+12500 ,2002
33,Missouri,+15000 ,2002
34,Michigan State,+15000 ,2002
35,Texas,+15000 ,2002
36,Charlotte,+15000 ,2002
37,Georgia,+15000 ,2002
38,Notre Dame,+15000 ,2002
39,Wyoming,+20000 ,2002
40,Boston College,+25000 ,2002
41,Ole Miss,+25000 ,2002
42,Pennsylvania,+25000 ,2002
43,Western Kentucky,+25000 ,2002
44,Creighton,+50000 ,2002
45,Southern Illinois,+50000 ,2002
46,St John's,+50000 ,2002
47,Valparaiso,+50000 ,2002
48,Wisconsin,+50000 ,2002
49,Illinois-Chicago,+100000 ,2002
50,San Diego State,+100000 ,2002
51,UC Santa Barbara,+100000 ,2002
52,Davidson,+250000 ,2002
53,Hampton,+250000 ,2002
54,McNeese State,+250000 ,2002
55,NC Wilmington,+250000 ,2002
56,Murray State,+400000 ,2002
57,Boston University,+500000 ,2002
58,Central Connecticut,+500000 ,2002
59,Florida Atlantic,+500000 ,2002
60,Holy Cross,+500000 ,2002
61,Montana,+500000 ,2002
62,Siena,+500000 ,2002
63,Winthrop,+500000 ,2002
64,Syracuse,+1800 ,2003
65,Texas,+800 ,2003
66,Kansas,+700 ,2003
67,Marquette,+2200 ,2003
68,Kentucky,+250 ,2003
69,Arizona,+300 ,2003
70,Oklahoma,+600 ,2003
71,Pittsburgh,+1000 ,2003
72,Duke,+1500 ,2003
73,Maryland,+1800 ,2003
74,Connecticut,+2000 ,2003
75,Notre Dame,+2500 ,2003
76,Michigan State,+3000 ,2003
77,Wisconsin,+3500 ,2003
78,Auburn,+15000 ,2003
79,Butler,+25000 ,2003
80,Florida,+1200 ,2003
81,Wake Forest,+1500 ,2003
82,Illinois,+1800 ,2003
83,Mississippi State,+2000 ,2003
84,Xavier,+2500 ,2003
85,Oregon,+4000 ,2003
86,Stanford,+4000 ,2003
87,Memphis,+4000 ,2003
88,LSU,+4500 ,2003
89,Missouri,+5000 ,2003
90,Oklahoma State,+5000 ,2003
91,Creighton,+5000 ,2003
92,St Joseph's,+5000 ,2003
93,Dayton,+6000 ,2003
94,Cincinnati,+7500 ,2003
95,Gonzaga,+8000 ,2003
96,California,+8000 ,2003
97,NC State,+8000 ,2003
98,Alabama,+10000 ,2003
99,Indiana,+10000 ,2003
100,Arizona State,+10000 ,2003
101,BYU,+10000 ,2003
102,Purdue,+10000 ,2003
103,Tulsa,+10000 ,2003
104,Pennsylvania,+15000 ,2003
105,Central Michigan,+15000 ,2003
106,Colorado,+15000 ,2003
107,Milwaukee,+15000 ,2003
108,Utah,+17500 ,2003
109,Southern Illinois,+20000 ,2003
110,Colorado State,+25000 ,2003
111,Holy Cross,+25000 ,2003
112,Weber State,+25000 ,2003
113,Western Kentucky,+30000 ,2003
114,Manhattan,+30000 ,2003
115,NC Wilmington,+30000 ,2003
116,San Diego,+30000 ,2003
117,Austin Peay,+40000 ,2003
118,Troy State,+50000 ,2003
119,Utah State,+50000 ,2003
120,East Tennessee State,+75000 ,2003
121,Sam Houston,+100000 ,2003
122,Wagner,+100000 ,2003
123,IUPUI,+300000 ,2003
124,South Carolina State,+300000 ,2003
125,Texas Southern,+300000 ,2003
126,UNC Ashville,+300000 ,2003
127,Vermont,+300000 ,2003
128,Connecticut,+450 ,2004
129,Duke,+400 ,2004
130,Oklahoma State,+700 ,2004
131,Georgia Tech,+1000 ,2004
132,Kentucky,+350 ,2004
133,Stanford,+400 ,2004
134,Gonzaga,+700 ,2004
135,Mississippi State,+700 ,2004
136,St Joseph's,+900 ,2004
137,Pittsburgh,+1000 ,2004
138,Wake Forest,+1200 ,2004
139,Maryland,+1200 ,2004
140,North Carolina,+1500 ,2004
141,NC State,+1800 ,2004
142,Kansas,+2000 ,2004
143,Florida,+2500 ,2004
144,Texas,+2500 ,2004
145,Illinois,+3000 ,2004
146,Wisconsin,+3000 ,2004
147,Arizona,+4000 ,2004
148,Cincinnati,+4000 ,2004
149,Syracuse,+4000 ,2004
150,Providence,+4000 ,2004
151,Michigan State,+5000 ,2004
152,Louisville,+5000 ,2004
153,Texas Tech,+5000 ,2004
154,Charlotte,+5000 ,2004
155,Xavier,+5000 ,2004
156,BYU,+5000 ,2004
157,Nevada,+5000 ,2004
158,DePaul,+5000 ,2004
159,Vanderbilt,+5000 ,2004
160,Western Michigan,+5000 ,2004
161,Memphis,+7500 ,2004
162,Seton Hall,+7500 ,2004
163,Alabama,+7500 ,2004
164,South Carolina,+7500 ,2004
165,Utah,+7500 ,2004
166,Boston College,+7500 ,2004
167,Dayton,+7500 ,2004
168,Illinois-Chicago,+10000 ,2004
169,Richmond,+10000 ,2004
170,Southern Illinois,+10000 ,2004
171,UAB,+10000 ,2004
172,Washington,+10000 ,2004
173,Manhattan,+25000 ,2004
174,Pacific,+25000 ,2004
175,UTEP,+25000 ,2004
176,Central Florida,+50000 ,2004
177,East Tennessee State,+50000 ,2004
178,Louisiana Lafayette,+50000 ,2004
179,Murray State,+50000 ,2004
180,Northern Iowa,+50000 ,2004
181,Princeton,+50000 ,2004
182,Air Force,+75000 ,2004
183,VCU,+75000 ,2004
184,Alabama State,+100000 ,2004
185,Florida A&M,+100000 ,2004
186,Lehigh,+100000 ,2004
187,Liberty,+100000 ,2004
188,Monmouth,+100000 ,2004
189,Texas San Antonio,+100000 ,2004
190,Vermont,+100000 ,2004
191,Eastern Washington,+500000 ,2004
192,Valparaiso,+500000 ,2004
193,North Carolina,+350 ,2005
194,Illinois,+400 ,2005
195,Louisville,+2500 ,2005
196,Michigan State,+600 ,2005
197,Duke,+400 ,2005
198,Wake Forest,+450 ,2005
199,Connecticut,+700 ,2005
